,R_Segment,F_Segment,M_Segment,Average Recency,Average Frequency,Average Monetary
13,Medium Recency,High Frequency,High Monetary,622.4166666666666,407.1666666666667,318528.5
0,High Recency,High Frequency,High Monetary,749.0416666666666,222.08333333333334,224259.375
7,Low Recency,High Frequency,High Monetary,587.5714285714286,213.95238095238096,154958.04761904763
11,Low Recency,Medium Frequency,High Monetary,569.0,60.0,69326.0
4,High Recency,Medium Frequency,High Monetary,763.0,54.0,61910.5
1,High Recency,High Frequency,Medium Monetary,802.0,76.0,49209.0
14,Medium Recency,High Frequency,Medium Monetary,654.3333333333334,79.33333333333333,46197.333333333336
8,Low Recency,High Frequency,Medium Monetary,588.0,83.0,45974.0
12,Low Recency,Medium Frequency,Medium Monetary,571.0,49.333333333333336,38110.0
3,High Recency,Low Frequency,Medium Monetary,813.0,26.5,36403.75
6,High Recency,Medium Frequency,Medium Monetary,745.7777777777778,51.888888888888886,33401.11111111111
18,Medium Recency,Medium Frequency,Medium Monetary,623.8571428571429,48.0,33295.71428571428
10,Low Recency,Low Frequency,Medium Monetary,576.0,25.5,30130.5
16,Medium Recency,Low Frequency,Medium Monetary,666.0,30.0,28582.0
17,Medium Recency,Medium Frequency,Low Monetary,623.5,43.0,21428.5
5,High Recency,Medium Frequency,Low Monetary,743.0,46.333333333333336,20756.0
15,Medium Recency,Low Frequency,Low Monetary,635.0,18.5,20237.5
9,Low Recency,Low Frequency,Low Monetary,577.75,17.25,14261.25
2,High Recency,Low Frequency,Low Monetary,803.2941176470588,14.352941176470589,10105.64705882353
