DATE,GROSS AMT
2021-09-14,622773.0
2022-02-21,553764.0
2021-06-24,534979.0
2022-03-03,476400.0
2021-10-04,465652.0
2021-08-04,409671.0
2022-02-22,354148.0
2021-07-09,345265.0
2021-10-23,342790.0
2021-10-05,316470.0
2022-01-29,313470.0
2022-02-05,307818.0
2021-11-22,296868.0
2021-08-06,287383.0
2021-10-08,286338.0
2022-03-26,280954.0
2021-11-16,261328.0
2021-10-21,244362.0
2021-11-03,241864.0
2022-02-24,233154.0
2022-03-09,208611.0
2022-02-25,192972.0
2021-10-20,171868.0
2022-02-26,169280.0
2022-03-10,167614.0
2021-06-29,159865.0
2021-11-19,153410.0
2021-10-15,149884.0
2021-10-01,146724.0
2021-12-14,143288.0
2022-01-01,136428.0
2022-02-12,135706.0
2021-10-12,133888.0
2022-03-23,133812.0
2021-10-09,132508.0
2021-11-12,131908.0
2021-10-14,128546.0
2021-09-22,128126.0
2021-09-15,126182.0
2021-09-16,120421.0
2021-11-29,120012.0
2021-07-26,119085.0
2021-08-25,115184.0
2021-12-24,114120.0
2021-12-09,102656.0
2021-09-18,99791.0
2021-08-16,93071.0
2022-02-19,89556.0
2022-03-05,85389.0
2021-07-01,80978.0
2022-01-17,80338.0
2021-08-15,79823.0
2021-06-23,78689.0
2021-10-11,75638.0
2022-01-28,74886.0
2021-12-13,73866.0
2022-02-23,71012.0
2021-09-21,70717.0
2022-02-16,70368.0
2022-03-28,69542.0
2021-10-06,69542.0
2021-10-29,68026.0
2021-12-16,66918.0
2021-07-16,66382.0
2022-02-14,66132.0
2021-06-11,65504.0
2021-11-01,63798.0
2021-07-30,63591.0
2021-11-27,56706.0
2022-02-17,56206.0
2022-03-29,54853.0
2021-12-15,53372.0
2021-12-28,51054.0
2022-03-01,50394.0
2021-10-02,50108.0
2021-08-07,49209.0
2021-12-06,48860.0
2021-12-02,48534.0
2022-01-25,47416.0
2022-01-19,47228.0
2022-03-17,46334.0
2021-12-30,45796.0
2022-02-08,45196.0
2022-01-04,44758.0
2021-09-03,41133.0
2021-06-28,38291.0
2022-01-10,38248.0
2021-07-24,37236.0
2021-10-18,34346.0
2021-07-29,32554.0
2021-11-23,31956.0
2022-03-21,31642.0
2022-03-25,30533.0
2021-10-26,29824.0
2021-12-21,28582.0
2022-02-11,28554.0
2022-01-27,28250.0
2021-06-08,27989.0
2021-08-14,25870.0
2021-12-27,25372.0
2021-06-18,25360.0
2021-06-15,25195.0
2022-01-13,24760.0
2021-07-31,24250.0
2021-08-19,24103.0
2021-08-10,23337.0
2022-03-08,23289.0
2022-01-24,22656.0
2021-09-07,21983.0
2022-01-31,21126.0
2021-07-08,20376.0
2021-11-26,20254.0
2022-02-10,19138.0
2021-09-11,18670.0
2021-10-13,18620.0
2022-03-31,18431.0
2021-07-10,17194.0
2022-01-12,17124.0
2022-01-05,17000.0
2022-02-28,15932.0
2022-03-12,15618.0
2021-08-05,14972.0
2021-09-27,14494.0
2022-03-22,13058.0
2021-06-05,11685.0
2021-08-26,11653.0
2021-07-13,11186.0
2021-06-17,10547.0
2021-07-22,10339.0
2021-06-19,10129.0
2021-08-21,10109.0
2021-07-28,10057.0
2021-09-24,9465.0
2021-09-29,8430.0
2021-09-06,6923.0
2021-09-09,5231.0
2021-07-12,5058.0
2021-08-20,4408.0
